suburb,postcode,suburb_postcode,state_long,zone
Barangaroo,2000,BARANGAROO 2000,New South Wales,Sydney
Dawes Point,2000,DAWES POINT 2000,New South Wales,Sydney
Haymarket,2000,HAYMARKET 2000,New South Wales,Sydney
Millers Point,2000,MILLERS POINT 2000,New South Wales,Sydney
Parliament House,2000,PARLIAMENT HOUSE 2000,New South Wales,Sydney
Sydney,2000,SYDNEY 2000,New South Wales,Sydney
Sydney South,2000,SYDNEY SOUTH 2000,New South Wales,Sydney
The Rocks,2000,THE ROCKS 2000,New South Wales,Sydney
World Square,2002,WORLD SQUARE 2002,New South Wales,Sydney
Alexandria Mc,2004,ALEXANDRIA MC 2004,New South Wales,Sydney
Eastern Suburbs Mc,2004,EASTERN SUBURBS MC 2004,New South Wales,Sydney
The University Of Sydney,2006,THE UNIVERSITY OF SYDNEY 2006,New South Wales,Sydney
Broadway,2007,BROADWAY 2007,New South Wales,Sydney
Ultimo,2007,ULTIMO 2007,New South Wales,Sydney
Chippendale,2008,CHIPPENDALE 2008,New South Wales,Sydney
Darlington,2008,DARLINGTON 2008,New South Wales,Sydney
Pyrmont,2009,PYRMONT 2009,New South Wales,Sydney
Darlinghurst,2010,DARLINGHURST 2010,New South Wales,Sydney
Surry Hills,2010,SURRY HILLS 2010,New South Wales,Sydney
Elizabeth Bay,2011,ELIZABETH BAY 2011,New South Wales,Sydney
Potts Point,2011,POTTS POINT 2011,New South Wales,Sydney
Rushcutters Bay,2011,RUSHCUTTERS BAY 2011,New South Wales,Sydney
Woolloomooloo,2011,WOOLLOOMOOLOO 2011,New South Wales,Sydney
Strawberry Hills,2012,STRAWBERRY HILLS 2012,New South Wales,Sydney
Alexandria,2015,ALEXANDRIA 2015,New South Wales,Sydney
Beaconsfield,2015,BEACONSFIELD 2015,New South Wales,Sydney
Eveleigh,2015,EVELEIGH 2015,New South Wales,Sydney
Redfern,2016,REDFERN 2016,New South Wales,Sydney
Waterloo,2017,WATERLOO 2017,New South Wales,Sydney
Zetland,2017,ZETLAND 2017,New South Wales,Sydney
Eastlakes,2018,EASTLAKES 2018,New South Wales,Sydney
Rosebery,2018,ROSEBERY 2018,New South Wales,Sydney
Banksmeadow,2019,BANKSMEADOW 2019,New South Wales,Sydney
Botany,2019,BOTANY 2019,New South Wales,Sydney
Mascot,2020,MASCOT 2020,New South Wales,Sydney
Sydney Domestic Airport,2020,SYDNEY DOMESTIC AIRPORT 2020,New South Wales,Sydney
Sydney International Airport,2020,SYDNEY INTERNATIONAL AIRPORT 2020,New South Wales,Sydney
Centennial Park,2021,CENTENNIAL PARK 2021,New South Wales,Sydney
Moore Park,2021,MOORE PARK 2021,New South Wales,Sydney
Paddington,2021,PADDINGTON 2021,New South Wales,Sydney
Bondi Junction,2022,BONDI JUNCTION 2022,New South Wales,Sydney
Queens Park,2022,QUEENS PARK 2022,New South Wales,Sydney
Bellevue Hill,2023,BELLEVUE HILL 2023,New South Wales,Sydney
Bronte,2024,BRONTE 2024,New South Wales,Sydney
Waverley,2024,WAVERLEY 2024,New South Wales,Sydney
Woollahra,2025,WOOLLAHRA 2025,New South Wales,Sydney
Bondi,2026,BONDI 2026,New South Wales,Sydney
Bondi Beach,2026,BONDI BEACH 2026,New South Wales,Sydney
North Bondi,2026,NORTH BONDI 2026,New South Wales,Sydney
Tamarama,2026,TAMARAMA 2026,New South Wales,Sydney
Darling Point,2027,DARLING POINT 2027,New South Wales,Sydney
Edgecliff,2027,EDGECLIFF 2027,New South Wales,Sydney
Hmas Rushcutters,2027,HMAS RUSHCUTTERS 2027,New South Wales,Sydney
Point Piper,2027,POINT PIPER 2027,New South Wales,Sydney
Double Bay,2028,DOUBLE BAY 2028,New South Wales,Sydney
Rose Bay,2029,ROSE BAY 2029,New South Wales,Sydney
Dover Heights,2030,DOVER HEIGHTS 2030,New South Wales,Sydney
Hmas Watson,2030,HMAS WATSON 2030,New South Wales,Sydney
Rose Bay North,2030,ROSE BAY NORTH 2030,New South Wales,Sydney
Vaucluse,2030,VAUCLUSE 2030,New South Wales,Sydney
Watsons Bay,2030,WATSONS BAY 2030,New South Wales,Sydney
Clovelly,2031,CLOVELLY 2031,New South Wales,Sydney
Clovelly West,2031,CLOVELLY WEST 2031,New South Wales,Sydney
Randwick,2031,RANDWICK 2031,New South Wales,Sydney
St Pauls,2031,ST PAULS 2031,New South Wales,Sydney
Daceyville,2032,DACEYVILLE 2032,New South Wales,Sydney
Kingsford,2032,KINGSFORD 2032,New South Wales,Sydney
Kensington,2033,KENSINGTON 2033,New South Wales,Sydney
Coogee,2034,COOGEE 2034,New South Wales,Sydney
South Coogee,2034,SOUTH COOGEE 2034,New South Wales,Sydney
Maroubra,2035,MAROUBRA 2035,New South Wales,Sydney
Maroubra South,2035,MAROUBRA SOUTH 2035,New South Wales,Sydney
Pagewood,2035,PAGEWOOD 2035,New South Wales,Sydney
Chifley,2036,CHIFLEY 2036,New South Wales,Sydney
Eastgardens,2036,EASTGARDENS 2036,New South Wales,Sydney
Hillsdale,2036,HILLSDALE 2036,New South Wales,Sydney
La Perouse,2036,LA PEROUSE 2036,New South Wales,Sydney
Little Bay,2036,LITTLE BAY 2036,New South Wales,Sydney
Malabar,2036,MALABAR 2036,New South Wales,Sydney
Matraville,2036,MATRAVILLE 2036,New South Wales,Sydney
Phillip Bay,2036,PHILLIP BAY 2036,New South Wales,Sydney
Port Botany,2036,PORT BOTANY 2036,New South Wales,Sydney
Forest Lodge,2037,FOREST LODGE 2037,New South Wales,Sydney
Glebe,2037,GLEBE 2037,New South Wales,Sydney
Annandale,2038,ANNANDALE 2038,New South Wales,Sydney
Rozelle,2039,ROZELLE 2039,New South Wales,Sydney
Leichhardt,2040,LEICHHARDT 2040,New South Wales,Sydney
Lilyfield,2040,LILYFIELD 2040,New South Wales,Sydney
Balmain,2041,BALMAIN 2041,New South Wales,Sydney
Balmain East,2041,BALMAIN EAST 2041,New South Wales,Sydney
Birchgrove,2041,BIRCHGROVE 2041,New South Wales,Sydney
Enmore,2042,ENMORE 2042,New South Wales,Sydney
Newtown,2042,NEWTOWN 2042,New South Wales,Sydney
Erskineville,2043,ERSKINEVILLE 2043,New South Wales,Sydney
St Peters,2044,ST PETERS 2044,New South Wales,Sydney
Sydenham,2044,SYDENHAM 2044,New South Wales,Sydney
Tempe,2044,TEMPE 2044,New South Wales,Sydney
Haberfield,2045,HABERFIELD 2045,New South Wales,Sydney
Abbotsford,2046,ABBOTSFORD 2046,New South Wales,Sydney
Canada Bay,2046,CANADA BAY 2046,New South Wales,Sydney
Chiswick,2046,CHISWICK 2046,New South Wales,Sydney
Five Dock,2046,FIVE DOCK 2046,New South Wales,Sydney
Rodd Point,2046,RODD POINT 2046,New South Wales,Sydney
Russell Lea,2046,RUSSELL LEA 2046,New South Wales,Sydney
Wareemba,2046,WAREEMBA 2046,New South Wales,Sydney
Drummoyne,2047,DRUMMOYNE 2047,New South Wales,Sydney
Stanmore,2048,STANMORE 2048,New South Wales,Sydney
Westgate,2048,WESTGATE 2048,New South Wales,Sydney
Lewisham,2049,LEWISHAM 2049,New South Wales,Sydney
Petersham,2049,PETERSHAM 2049,New South Wales,Sydney
Petersham North,2049,PETERSHAM NORTH 2049,New South Wales,Sydney
Camperdown,2050,CAMPERDOWN 2050,New South Wales,Sydney
Missenden Road,2050,MISSENDEN ROAD 2050,New South Wales,Sydney
Unsw Sydney,2052,UNSW SYDNEY 2052,New South Wales,Sydney
North Sydney,2055,NORTH SYDNEY 2055,New South Wales,Sydney
Chatswood,2057,CHATSWOOD 2057,New South Wales,Sydney
North Sydney,2059,NORTH SYDNEY 2059,New South Wales,Sydney
Hmas Platypus,2060,HMAS PLATYPUS 2060,New South Wales,Sydney
Hmas Waterhen,2060,HMAS WATERHEN 2060,New South Wales,Sydney
Lavender Bay,2060,LAVENDER BAY 2060,New South Wales,Sydney
Mcmahons Point,2060,MCMAHONS POINT 2060,New South Wales,Sydney
North Sydney,2060,NORTH SYDNEY 2060,New South Wales,Sydney
North Sydney Shoppingworld,2060,NORTH SYDNEY SHOPPINGWORLD 2060,New South Wales,Sydney
Waverton,2060,WAVERTON 2060,New South Wales,Sydney
Kirribilli,2061,KIRRIBILLI 2061,New South Wales,Sydney
Milsons Point,2061,MILSONS POINT 2061,New South Wales,Sydney
Cammeray,2062,CAMMERAY 2062,New South Wales,Sydney
Northbridge,2063,NORTHBRIDGE 2063,New South Wales,Sydney
Artarmon,2064,ARTARMON 2064,New South Wales,Sydney
Crows Nest,2065,CROWS NEST 2065,New South Wales,Sydney
Greenwich,2065,GREENWICH 2065,New South Wales,Sydney
Naremburn,2065,NAREMBURN 2065,New South Wales,Sydney
Royal North Shore Hospital,2065,ROYAL NORTH SHORE HOSPITAL 2065,New South Wales,Sydney
St Leonards,2065,ST LEONARDS 2065,New South Wales,Sydney
Wollstonecraft,2065,WOLLSTONECRAFT 2065,New South Wales,Sydney
Lane Cove,2066,LANE COVE 2066,New South Wales,Sydney
Lane Cove North,2066,LANE COVE NORTH 2066,New South Wales,Sydney
Lane Cove West,2066,LANE COVE WEST 2066,New South Wales,Sydney
Linley Point,2066,LINLEY POINT 2066,New South Wales,Sydney
Longueville,2066,LONGUEVILLE 2066,New South Wales,Sydney
Northwood,2066,NORTHWOOD 2066,New South Wales,Sydney
Riverview,2066,RIVERVIEW 2066,New South Wales,Sydney
Chatswood,2067,CHATSWOOD 2067,New South Wales,Sydney
Chatswood West,2067,CHATSWOOD WEST 2067,New South Wales,Sydney
Castlecrag,2068,CASTLECRAG 2068,New South Wales,Sydney
Middle Cove,2068,MIDDLE COVE 2068,New South Wales,Sydney
North Willoughby,2068,NORTH WILLOUGHBY 2068,New South Wales,Sydney
Willoughby,2068,WILLOUGHBY 2068,New South Wales,Sydney
Willoughby East,2068,WILLOUGHBY EAST 2068,New South Wales,Sydney
Willoughby North,2068,WILLOUGHBY NORTH 2068,New South Wales,Sydney
Castle Cove,2069,CASTLE COVE 2069,New South Wales,Sydney
Roseville,2069,ROSEVILLE 2069,New South Wales,Sydney
Roseville Chase,2069,ROSEVILLE CHASE 2069,New South Wales,Sydney
East Lindfield,2070,EAST LINDFIELD 2070,New South Wales,Sydney
Lindfield,2070,LINDFIELD 2070,New South Wales,Sydney
Lindfield West,2070,LINDFIELD WEST 2070,New South Wales,Sydney
East Killara,2071,EAST KILLARA 2071,New South Wales,Sydney
Killara,2071,KILLARA 2071,New South Wales,Sydney
Gordon,2072,GORDON 2072,New South Wales,Sydney
Pymble,2073,PYMBLE 2073,New South Wales,Sydney
West Pymble,2073,WEST PYMBLE 2073,New South Wales,Sydney
North Turramurra,2074,NORTH TURRAMURRA 2074,New South Wales,Sydney
South Turramurra,2074,SOUTH TURRAMURRA 2074,New South Wales,Sydney
Turramurra,2074,TURRAMURRA 2074,New South Wales,Sydney
Warrawee,2074,WARRAWEE 2074,New South Wales,Sydney
St Ives,2075,ST IVES 2075,New South Wales,Sydney
St Ives Chase,2075,ST IVES CHASE 2075,New South Wales,Sydney
Normanhurst,2076,NORMANHURST 2076,New South Wales,Sydney
North Wahroonga,2076,NORTH WAHROONGA 2076,New South Wales,Sydney
Wahroonga,2076,WAHROONGA 2076,New South Wales,Sydney
Asquith,2077,ASQUITH 2077,New South Wales,Sydney
Hornsby,2077,HORNSBY 2077,New South Wales,Sydney
Hornsby Heights,2077,HORNSBY HEIGHTS 2077,New South Wales,Sydney
Waitara,2077,WAITARA 2077,New South Wales,Sydney
Mount Colah,2079,MOUNT COLAH 2079,New South Wales,Sydney
Mount Kuring-Gai,2080,MOUNT KURING-GAI 2080,New South Wales,Sydney
Berowra,2081,BEROWRA 2081,New South Wales,Sydney
Berowra Heights,2082,BEROWRA HEIGHTS 2082,New South Wales,Sydney
Berowra Waters,2082,BEROWRA WATERS 2082,New South Wales,Sydney
Brooklyn,2083,BROOKLYN 2083,New South Wales,Central Coast
Mooney Mooney,2083,MOONEY MOONEY 2083,New South Wales,Central Coast
Duffys Forest,2084,DUFFYS FOREST 2084,New South Wales,Sydney
Terrey Hills,2084,TERREY HILLS 2084,New South Wales,Sydney
Belrose,2085,BELROSE 2085,New South Wales,Sydney
Belrose West,2085,BELROSE WEST 2085,New South Wales,Sydney
Davidson,2085,DAVIDSON 2085,New South Wales,Sydney
Frenchs Forest,2086,FRENCHS FOREST 2086,New South Wales,Sydney
Frenchs Forest East,2086,FRENCHS FOREST EAST 2086,New South Wales,Sydney
Forestville,2087,FORESTVILLE 2087,New South Wales,Sydney
Killarney Heights,2087,KILLARNEY HEIGHTS 2087,New South Wales,Sydney
Mosman,2088,MOSMAN 2088,New South Wales,Sydney
Spit Junction,2088,SPIT JUNCTION 2088,New South Wales,Sydney
Kurraba Point,2089,KURRABA POINT 2089,New South Wales,Sydney
Neutral Bay,2089,NEUTRAL BAY 2089,New South Wales,Sydney
Neutral Bay Junction,2089,NEUTRAL BAY JUNCTION 2089,New South Wales,Sydney
Cremorne,2090,CREMORNE 2090,New South Wales,Sydney
Cremorne Junction,2090,CREMORNE JUNCTION 2090,New South Wales,Sydney
Cremorne Point,2090,CREMORNE POINT 2090,New South Wales,Sydney
Hmas Penguin,2091,HMAS PENGUIN 2091,New South Wales,Sydney
Seaforth,2092,SEAFORTH 2092,New South Wales,Sydney
Balgowlah,2093,BALGOWLAH 2093,New South Wales,Sydney
Balgowlah Heights,2093,BALGOWLAH HEIGHTS 2093,New South Wales,Sydney
Clontarf,2093,CLONTARF 2093,New South Wales,Sydney
Manly Vale,2093,MANLY VALE 2093,New South Wales,Sydney
North Balgowlah,2093,NORTH BALGOWLAH 2093,New South Wales,Sydney
Fairlight,2094,FAIRLIGHT 2094,New South Wales,Sydney
Manly,2095,MANLY 2095,New South Wales,Sydney
Manly East,2095,MANLY EAST 2095,New South Wales,Sydney
Curl Curl,2096,CURL CURL 2096,New South Wales,Sydney
Freshwater,2096,FRESHWATER 2096,New South Wales,Sydney
Harbord,2096,HARBORD 2096,New South Wales,Sydney
Queenscliff,2096,QUEENSCLIFF 2096,New South Wales,Sydney
Collaroy,2097,COLLAROY 2097,New South Wales,Sydney
Collaroy Beach,2097,COLLAROY BEACH 2097,New South Wales,Sydney
Collaroy Plateau,2097,COLLAROY PLATEAU 2097,New South Wales,Sydney
Wheeler Heights,2097,WHEELER HEIGHTS 2097,New South Wales,Sydney
Cromer,2099,CROMER 2099,New South Wales,Sydney
Dee Why,2099,DEE WHY 2099,New South Wales,Sydney
Narraweena,2099,NARRAWEENA 2099,New South Wales,Sydney
North Curl Curl,2099,NORTH CURL CURL 2099,New South Wales,Sydney
Allambie Heights,2100,ALLAMBIE HEIGHTS 2100,New South Wales,Sydney
Beacon Hill,2100,BEACON HILL 2100,New South Wales,Sydney
Brookvale,2100,BROOKVALE 2100,New South Wales,Sydney
North Manly,2100,NORTH MANLY 2100,New South Wales,Sydney
Oxford Falls,2100,OXFORD FALLS 2100,New South Wales,Sydney
Warringah Mall,2100,WARRINGAH MALL 2100,New South Wales,Sydney
Elanora Heights,2101,ELANORA HEIGHTS 2101,New South Wales,Sydney
Ingleside,2101,INGLESIDE 2101,New South Wales,Sydney
Narrabeen,2101,NARRABEEN 2101,New South Wales,Sydney
North Narrabeen,2101,NORTH NARRABEEN 2101,New South Wales,Sydney
Warriewood,2102,WARRIEWOOD 2102,New South Wales,Sydney
Warriewood Shopping Square,2102,WARRIEWOOD SHOPPING SQUARE 2102,New South Wales,Sydney
Mona Vale,2103,MONA VALE 2103,New South Wales,Sydney
Bayview,2104,BAYVIEW 2104,New South Wales,Sydney
Church Point,2105,CHURCH POINT 2105,New South Wales,Sydney
Newport,2106,NEWPORT 2106,New South Wales,Sydney
Newport Beach,2106,NEWPORT BEACH 2106,New South Wales,Sydney
Avalon Beach,2107,AVALON BEACH 2107,New South Wales,Sydney
Bilgola,2107,BILGOLA 2107,New South Wales,Sydney
Bilgola Beach,2107,BILGOLA BEACH 2107,New South Wales,Sydney
Bilgola Plateau,2107,BILGOLA PLATEAU 2107,New South Wales,Sydney
Careel Bay,2107,CAREEL BAY 2107,New South Wales,Sydney
Clareville,2107,CLAREVILLE 2107,New South Wales,Sydney
Whale Beach,2107,WHALE BEACH 2107,New South Wales,Sydney
Great Mackerel Beach,2108,GREAT MACKEREL BEACH 2108,New South Wales,Sydney
Palm Beach,2108,PALM BEACH 2108,New South Wales,Sydney
The Basin,2108,THE BASIN 2108,New South Wales,Sydney
Macquarie University,2109,MACQUARIE UNIVERSITY 2109,New South Wales,Sydney
Hunters Hill,2110,HUNTERS HILL 2110,New South Wales,Sydney
Woolwich,2110,WOOLWICH 2110,New South Wales,Sydney
Boronia Park,2111,BORONIA PARK 2111,New South Wales,Sydney
Gladesville,2111,GLADESVILLE 2111,New South Wales,Sydney
Henley,2111,HENLEY 2111,New South Wales,Sydney
Huntleys Cove,2111,HUNTLEYS COVE 2111,New South Wales,Sydney
Huntleys Point,2111,HUNTLEYS POINT 2111,New South Wales,Sydney
Monash Park,2111,MONASH PARK 2111,New South Wales,Sydney
Tennyson Point,2111,TENNYSON POINT 2111,New South Wales,Sydney
Denistone East,2112,DENISTONE EAST 2112,New South Wales,Sydney
Putney,2112,PUTNEY 2112,New South Wales,Sydney
Ryde,2112,RYDE 2112,New South Wales,Sydney
Blenheim Road,2113,BLENHEIM ROAD 2113,New South Wales,Sydney
East Ryde,2113,EAST RYDE 2113,New South Wales,Sydney
Macquarie Centre,2113,MACQUARIE CENTRE 2113,New South Wales,Sydney
Macquarie Park,2113,MACQUARIE PARK 2113,New South Wales,Sydney
North Ryde,2113,NORTH RYDE 2113,New South Wales,Sydney
Denistone,2114,DENISTONE 2114,New South Wales,Sydney
Denistone West,2114,DENISTONE WEST 2114,New South Wales,Sydney
Meadowbank,2114,MEADOWBANK 2114,New South Wales,Sydney
Melrose Park,2114,MELROSE PARK 2114,New South Wales,Sydney
West Ryde,2114,WEST RYDE 2114,New South Wales,Sydney
Ermington,2115,ERMINGTON 2115,New South Wales,Sydney
Rydalmere,2116,RYDALMERE 2116,New South Wales,Sydney
Dundas,2117,DUNDAS 2117,New South Wales,Sydney
Dundas Valley,2117,DUNDAS VALLEY 2117,New South Wales,Sydney
Oatlands,2117,OATLANDS 2117,New South Wales,Sydney
Telopea,2117,TELOPEA 2117,New South Wales,Sydney
Carlingford,2118,CARLINGFORD 2118,New South Wales,Sydney
Carlingford Court,2118,CARLINGFORD COURT 2118,New South Wales,Sydney
Carlingford North,2118,CARLINGFORD NORTH 2118,New South Wales,Sydney
Kingsdene,2118,KINGSDENE 2118,New South Wales,Sydney
Beecroft,2119,BEECROFT 2119,New South Wales,Sydney
Cheltenham,2119,CHELTENHAM 2119,New South Wales,Sydney
Pennant Hills,2120,PENNANT HILLS 2120,New South Wales,Sydney
Thornleigh,2120,THORNLEIGH 2120,New South Wales,Sydney
Westleigh,2120,WESTLEIGH 2120,New South Wales,Sydney
Epping,2121,EPPING 2121,New South Wales,Sydney
North Epping,2121,NORTH EPPING 2121,New South Wales,Sydney
Eastwood,2122,EASTWOOD 2122,New South Wales,Sydney
Marsfield,2122,MARSFIELD 2122,New South Wales,Sydney
Parramatta,2124,PARRAMATTA 2124,New South Wales,Sydney
West Pennant Hills,2125,WEST PENNANT HILLS 2125,New South Wales,Sydney
Cherrybrook,2126,CHERRYBROOK 2126,New South Wales,Sydney
Homebush Bay,2127,HOMEBUSH BAY 2127,New South Wales,Sydney
Newington,2127,NEWINGTON 2127,New South Wales,Sydney
Sydney Olympic Park,2127,SYDNEY OLYMPIC PARK 2127,New South Wales,Sydney
Wentworth Point,2127,WENTWORTH POINT 2127,New South Wales,Sydney
Silverwater,2128,SILVERWATER 2128,New South Wales,Sydney
Sydney Markets,2129,SYDNEY MARKETS 2129,New South Wales,Sydney
Summer Hill,2130,SUMMER HILL 2130,New South Wales,Sydney
Ashfield,2131,ASHFIELD 2131,New South Wales,Sydney
Croydon,2132,CROYDON 2132,New South Wales,Sydney
Croydon Park,2133,CROYDON PARK 2133,New South Wales,Sydney
Enfield South,2133,ENFIELD SOUTH 2133,New South Wales,Sydney
Burwood,2134,BURWOOD 2134,New South Wales,Sydney
Burwood North,2134,BURWOOD NORTH 2134,New South Wales,Sydney
Strathfield,2135,STRATHFIELD 2135,New South Wales,Sydney
Burwood Heights,2136,BURWOOD HEIGHTS 2136,New South Wales,Sydney
Enfield,2136,ENFIELD 2136,New South Wales,Sydney
Strathfield South,2136,STRATHFIELD SOUTH 2136,New South Wales,Sydney
Breakfast Point,2137,BREAKFAST POINT 2137,New South Wales,Sydney
Cabarita,2137,CABARITA 2137,New South Wales,Sydney
Concord,2137,CONCORD 2137,New South Wales,Sydney
Mortlake,2137,MORTLAKE 2137,New South Wales,Sydney
North Strathfield,2137,NORTH STRATHFIELD 2137,New South Wales,Sydney
Concord West,2138,CONCORD WEST 2138,New South Wales,Sydney
Liberty Grove,2138,LIBERTY GROVE 2138,New South Wales,Sydney
Rhodes,2138,RHODES 2138,New South Wales,Sydney
Concord Repatriation Hospital,2139,CONCORD REPATRIATION HOSPITAL 2139,New South Wales,Sydney
Homebush,2140,HOMEBUSH 2140,New South Wales,Sydney
Homebush South,2140,HOMEBUSH SOUTH 2140,New South Wales,Sydney
Homebush West,2140,HOMEBUSH WEST 2140,New South Wales,Sydney
Berala,2141,BERALA 2141,New South Wales,Sydney
Lidcombe,2141,LIDCOMBE 2141,New South Wales,Sydney
Lidcombe North,2141,LIDCOMBE NORTH 2141,New South Wales,Sydney
Rookwood,2141,ROOKWOOD 2141,New South Wales,Sydney
Blaxcell,2142,BLAXCELL 2142,New South Wales,Sydney
Camellia,2142,CAMELLIA 2142,New South Wales,Sydney
Clyde,2142,CLYDE 2142,New South Wales,Sydney
Granville,2142,GRANVILLE 2142,New South Wales,Sydney
Holroyd,2142,HOLROYD 2142,New South Wales,Sydney
Rosehill,2142,ROSEHILL 2142,New South Wales,Sydney
South Granville,2142,SOUTH GRANVILLE 2142,New South Wales,Sydney
Birrong,2143,BIRRONG 2143,New South Wales,Sydney
Potts Hill,2143,POTTS HILL 2143,New South Wales,Sydney
Regents Park,2143,REGENTS PARK 2143,New South Wales,Sydney
Auburn,2144,AUBURN 2144,New South Wales,Sydney
Constitution Hill,2145,CONSTITUTION HILL 2145,New South Wales,Sydney
Girraween,2145,GIRRAWEEN 2145,New South Wales,Sydney
Greystanes,2145,GREYSTANES 2145,New South Wales,Sydney
Mays Hill,2145,MAYS HILL 2145,New South Wales,Sydney
Pemulwuy,2145,PEMULWUY 2145,New South Wales,Sydney
Pendle Hill,2145,PENDLE HILL 2145,New South Wales,Sydney
South Wentworthville,2145,SOUTH WENTWORTHVILLE 2145,New South Wales,Sydney
Wentworthville,2145,WENTWORTHVILLE 2145,New South Wales,Sydney
Westmead,2145,WESTMEAD 2145,New South Wales,Sydney
Old Toongabbie,2146,OLD TOONGABBIE 2146,New South Wales,Sydney
Toongabbie,2146,TOONGABBIE 2146,New South Wales,Sydney
Toongabbie East,2146,TOONGABBIE EAST 2146,New South Wales,Sydney
Kings Langley,2147,KINGS LANGLEY 2147,New South Wales,Sydney
Lalor Park,2147,LALOR PARK 2147,New South Wales,Sydney
Seven Hills,2147,SEVEN HILLS 2147,New South Wales,Sydney
Seven Hills West,2147,SEVEN HILLS WEST 2147,New South Wales,Sydney
Arndell Park,2148,ARNDELL PARK 2148,New South Wales,Sydney
Blacktown,2148,BLACKTOWN 2148,New South Wales,Sydney
Blacktown Westpoint,2148,BLACKTOWN WESTPOINT 2148,New South Wales,Sydney
Huntingwood,2148,HUNTINGWOOD 2148,New South Wales,Sydney
Kings Park,2148,KINGS PARK 2148,New South Wales,Sydney
Marayong,2148,MARAYONG 2148,New South Wales,Sydney
Prospect,2148,PROSPECT 2148,New South Wales,Sydney
Harris Park,2150,HARRIS PARK 2150,New South Wales,Sydney
Parramatta,2150,PARRAMATTA 2150,New South Wales,Sydney
Parramatta Westfield,2150,PARRAMATTA WESTFIELD 2150,New South Wales,Sydney
North Parramatta,2151,NORTH PARRAMATTA 2151,New South Wales,Sydney
North Rocks,2151,NORTH ROCKS 2151,New South Wales,Sydney
Northmead,2152,NORTHMEAD 2152,New South Wales,Sydney
Baulkham Hills,2153,BAULKHAM HILLS 2153,New South Wales,Sydney
Bella Vista,2153,BELLA VISTA 2153,New South Wales,Sydney
Winston Hills,2153,WINSTON HILLS 2153,New South Wales,Sydney
Castle Hill,2154,CASTLE HILL 2154,New South Wales,Sydney
Beaumont Hills,2155,BEAUMONT HILLS 2155,New South Wales,Sydney
Kellyville,2155,KELLYVILLE 2155,New South Wales,Sydney
Kellyville Ridge,2155,KELLYVILLE RIDGE 2155,New South Wales,Sydney
Rouse Hill,2155,ROUSE HILL 2155,New South Wales,Sydney
Annangrove,2156,ANNANGROVE 2156,New South Wales,Sydney
Glenhaven,2156,GLENHAVEN 2156,New South Wales,Sydney
Kenthurst,2156,KENTHURST 2156,New South Wales,Sydney
Glenorie,2157,GLENORIE 2157,New South Wales,Sydney
Dural,2158,DURAL 2158,New South Wales,Sydney
Middle Dural,2158,MIDDLE DURAL 2158,New South Wales,Sydney
Round Corner,2158,ROUND CORNER 2158,New South Wales,Sydney
Arcadia,2159,ARCADIA 2159,New South Wales,Sydney
Berrilee,2159,BERRILEE 2159,New South Wales,Sydney
Galston,2159,GALSTON 2159,New South Wales,Sydney
Merrylands,2160,MERRYLANDS 2160,New South Wales,Sydney
Merrylands West,2160,MERRYLANDS WEST 2160,New South Wales,Sydney
Guildford,2161,GUILDFORD 2161,New South Wales,Sydney
Guildford West,2161,GUILDFORD WEST 2161,New South Wales,Sydney
Old Guildford,2161,OLD GUILDFORD 2161,New South Wales,Sydney
Yennora,2161,YENNORA 2161,New South Wales,Sydney
Chester Hill,2162,CHESTER HILL 2162,New South Wales,Sydney
Sefton,2162,SEFTON 2162,New South Wales,Sydney
Carramar,2163,CARRAMAR 2163,New South Wales,Sydney
Lansdowne,2163,LANSDOWNE 2163,New South Wales,Sydney
Villawood,2163,VILLAWOOD 2163,New South Wales,Sydney
Smithfield,2164,SMITHFIELD 2164,New South Wales,Sydney
Smithfield West,2164,SMITHFIELD WEST 2164,New South Wales,Sydney
Wetherill Park,2164,WETHERILL PARK 2164,New South Wales,Sydney
Woodpark,2164,WOODPARK 2164,New South Wales,Sydney
Fairfield,2165,FAIRFIELD 2165,New South Wales,Sydney
Fairfield East,2165,FAIRFIELD EAST 2165,New South Wales,Sydney
Fairfield Heights,2165,FAIRFIELD HEIGHTS 2165,New South Wales,Sydney
Fairfield West,2165,FAIRFIELD WEST 2165,New South Wales,Sydney
Cabramatta,2166,CABRAMATTA 2166,New South Wales,Sydney
Cabramatta West,2166,CABRAMATTA WEST 2166,New South Wales,Sydney
Canley Heights,2166,CANLEY HEIGHTS 2166,New South Wales,Sydney
Canley Vale,2166,CANLEY VALE 2166,New South Wales,Sydney
Lansvale,2166,LANSVALE 2166,New South Wales,Sydney
Glenfield,2167,GLENFIELD 2167,New South Wales,Sydney
Ashcroft,2168,ASHCROFT 2168,New South Wales,Sydney
Busby,2168,BUSBY 2168,New South Wales,Sydney
Cartwright,2168,CARTWRIGHT 2168,New South Wales,Sydney
Green Valley,2168,GREEN VALLEY 2168,New South Wales,Sydney
Heckenberg,2168,HECKENBERG 2168,New South Wales,Sydney
Hinchinbrook,2168,HINCHINBROOK 2168,New South Wales,Sydney
Miller,2168,MILLER 2168,New South Wales,Sydney
Sadleir,2168,SADLEIR 2168,New South Wales,Sydney
Casula,2170,CASULA 2170,New South Wales,Sydney
Casula Mall,2170,CASULA MALL 2170,New South Wales,Sydney
Chipping Norton,2170,CHIPPING NORTON 2170,New South Wales,Sydney
Hammondville,2170,HAMMONDVILLE 2170,New South Wales,Sydney
