suburb,postcode,suburb_postcode,state_long,zone
Mapuru,0822,MAPURU 0822,Northern Territory,Remote
Maranunga,0822,MARANUNGA 0822,Northern Territory,Remote
Margaret River,0822,MARGARET RIVER 0822,Northern Territory,Remote
Marrakai,0822,MARRAKAI 0822,Northern Territory,Remote
Mcminns Lagoon,0822,MCMINNS LAGOON 0822,Northern Territory,Remote
Mickett Creek,0822,MICKETT CREEK 0822,Northern Territory,Remote
Middle Point,0822,MIDDLE POINT 0822,Northern Territory,Remote
Milikapiti,0822,MILIKAPITI 0822,Northern Territory,Remote
Milingimbi,0822,MILINGIMBI 0822,Northern Territory,Remote
Milyakburra,0822,MILYAKBURRA 0822,Northern Territory,Remote
Minjilang,0822,MINJILANG 0822,Northern Territory,Remote
Mount Bundey,0822,MOUNT BUNDEY 0822,Northern Territory,Remote
Murrumujuk,0822,MURRUMUJUK 0822,Northern Territory,Remote
Nauiyu,0822,NAUIYU 0822,Northern Territory,Remote
Nemarluk,0822,NEMARLUK 0822,Northern Territory,Remote
Nganmarriyanga,0822,NGANMARRIYANGA 0822,Northern Territory,Remote
Nguiu,0822,NGUIU 0822,Northern Territory,Remote
Numbulwar,0822,NUMBULWAR 0822,Northern Territory,Remote
Numburindi,0822,NUMBURINDI 0822,Northern Territory,Remote
Oenpelli,0822,OENPELLI 0822,Northern Territory,Remote
Peppimenarti,0822,PEPPIMENARTI 0822,Northern Territory,Remote
Pirlangimpi,0822,PIRLANGIMPI 0822,Northern Territory,Remote
Point Stephens,0822,POINT STEPHENS 0822,Northern Territory,Remote
Point Stuart,0822,POINT STUART 0822,Northern Territory,Remote
Pularumpi,0822,PULARUMPI 0822,Northern Territory,Remote
Rakula,0822,RAKULA 0822,Northern Territory,Remote
Ramingining,0822,RAMINGINING 0822,Northern Territory,Remote
Robin Falls,0822,ROBIN FALLS 0822,Northern Territory,Remote
Rum Jungle,0822,RUM JUNGLE 0822,Northern Territory,Remote
Sandpalms Roadhouse,0822,SANDPALMS ROADHOUSE 0822,Northern Territory,Remote
Southport,0822,SOUTHPORT 0822,Northern Territory,Remote
Stapleton,0822,STAPLETON 0822,Northern Territory,Remote
Thamarrurr,0822,THAMARRURR 0822,Northern Territory,Remote
Tipperary,0822,TIPPERARY 0822,Northern Territory,Remote
Tivendale,0822,TIVENDALE 0822,Northern Territory,Remote
Tiwi Islands,0822,TIWI ISLANDS 0822,Northern Territory,Remote
Tortilla Flats,0822,TORTILLA FLATS 0822,Northern Territory,Remote
Tumbling Waters,0822,TUMBLING WATERS 0822,Northern Territory,Remote
Umbakumba,0822,UMBAKUMBA 0822,Northern Territory,Remote
Vernon Islands,0822,VERNON ISLANDS 0822,Northern Territory,Remote
Wadeye,0822,WADEYE 0822,Northern Territory,Remote
Wagait Beach,0822,WAGAIT BEACH 0822,Northern Territory,Remote
Wak Wak,0822,WAK WAK 0822,Northern Territory,Remote
Warruwi,0822,WARRUWI 0822,Northern Territory,Remote
Weddell,0822,WEDDELL 0822,Northern Territory,Remote
West Arnhem,0822,WEST ARNHEM 0822,Northern Territory,Remote
Wickham,0822,WICKHAM 0822,Northern Territory,Remote
Winnellie,0822,WINNELLIE 0822,Northern Territory,Remote
Wishart,0822,WISHART 0822,Northern Territory,Remote
Woolaning,0822,WOOLANING 0822,Northern Territory,Remote
Wurrumiyanga,0822,WURRUMIYANGA 0822,Northern Territory,Remote
Berrimah,0828,BERRIMAH 0828,Northern Territory,Remote
Knuckey Lagoon,0828,KNUCKEY LAGOON 0828,Northern Territory,Remote
Holtze,0829,HOLTZE 0829,Northern Territory,Remote
Pinelands,0829,PINELANDS 0829,Northern Territory,Remote
Archer,0830,ARCHER 0830,Northern Territory,Remote
