suburb,postcode,suburb_postcode,state_long,zone
Terry Hie Hie,2400,TERRY HIE HIE 2400,New South Wales,Remote
Tulloona,2400,TULLOONA 2400,New South Wales,Remote
Gravesend,2401,GRAVESEND 2401,New South Wales,Remote
Coolatai,2402,COOLATAI 2402,New South Wales,Remote
Warialda,2402,WARIALDA 2402,New South Wales,Remote
Warialda Rail,2402,WARIALDA RAIL 2402,New South Wales,Remote
Balfours Peak,2403,BALFOURS PEAK 2403,New South Wales,Remote
Delungra,2403,DELUNGRA 2403,New South Wales,Remote
Gragin,2403,GRAGIN 2403,New South Wales,Remote
Myall Creek,2403,MYALL CREEK 2403,New South Wales,Remote
Bangheet,2404,BANGHEET 2404,New South Wales,Remote
Bingara,2404,BINGARA 2404,New South Wales,Remote
Dinoga,2404,DINOGA 2404,New South Wales,Remote
Elcombe,2404,ELCOMBE 2404,New South Wales,Remote
Gineroi,2404,GINEROI 2404,New South Wales,Remote
Keera,2404,KEERA 2404,New South Wales,Remote
Pallal,2404,PALLAL 2404,New South Wales,Remote
Riverview,2404,RIVERVIEW 2404,New South Wales,Remote
Upper Bingara,2404,UPPER BINGARA 2404,New South Wales,Remote
Boomi,2405,BOOMI 2405,New South Wales,Remote
Garah,2405,GARAH 2405,New South Wales,Remote
Mungindi,2406,MUNGINDI 2406,New South Wales,Remote
Weemelah,2406,WEEMELAH 2406,New South Wales,Remote
Blue Nobby,2408,BLUE NOBBY 2408,New South Wales,Remote
North Star,2408,NORTH STAR 2408,New South Wales,Remote
Yallaroi,2408,YALLAROI 2408,New South Wales,Remote
Boggabilla,2409,BOGGABILLA 2409,New South Wales,Remote
Boonal,2409,BOONAL 2409,New South Wales,Remote
Twin Rivers,2410,TWIN RIVERS 2410,New South Wales,Remote
Yetman,2410,YETMAN 2410,New South Wales,Remote
Croppa Creek,2411,CROPPA CREEK 2411,New South Wales,Remote
Monkerai,2415,MONKERAI 2415,New South Wales,Remote
Nooroo,2415,NOOROO 2415,New South Wales,Remote
Stroud Road,2415,STROUD ROAD 2415,New South Wales,Remote
Upper Karuah River,2415,UPPER KARUAH RIVER 2415,New South Wales,Remote
Weismantels,2415,WEISMANTELS 2415,New South Wales,Remote
Alison,2420,ALISON 2420,New South Wales,Remote
Bandon Grove,2420,BANDON GROVE 2420,New South Wales,Remote
Bendolba,2420,BENDOLBA 2420,New South Wales,Remote
Brookfield,2420,BROOKFIELD 2420,New South Wales,Remote
Cambra,2420,CAMBRA 2420,New South Wales,Remote
Chichester,2420,CHICHESTER 2420,New South Wales,Remote
Dungog,2420,DUNGOG 2420,New South Wales,Remote
Flat Tops,2420,FLAT TOPS 2420,New South Wales,Remote
Fosterton,2420,FOSTERTON 2420,New South Wales,Remote
Hanleys Creek,2420,HANLEYS CREEK 2420,New South Wales,Remote
Hilldale,2420,HILLDALE 2420,New South Wales,Remote
Main Creek,2420,MAIN CREEK 2420,New South Wales,Remote
Marshdale,2420,MARSHDALE 2420,New South Wales,Remote
Martins Creek,2420,MARTINS CREEK 2420,New South Wales,Remote
Munni,2420,MUNNI 2420,New South Wales,Remote
Salisbury,2420,SALISBURY 2420,New South Wales,Remote
Stroud Hill,2420,STROUD HILL 2420,New South Wales,Remote
Sugarloaf,2420,SUGARLOAF 2420,New South Wales,Remote
Tabbil Creek,2420,TABBIL CREEK 2420,New South Wales,Remote
Underbank,2420,UNDERBANK 2420,New South Wales,Remote
Wallaringa,2420,WALLARINGA 2420,New South Wales,Remote
Wallarobba,2420,WALLAROBBA 2420,New South Wales,Remote
Wirragulla,2420,WIRRAGULLA 2420,New South Wales,Remote
Fishers Hill,2421,FISHERS HILL 2421,New South Wales,Remote
Paterson,2421,PATERSON 2421,New South Wales,Remote
Summer Hill,2421,SUMMER HILL 2421,New South Wales,Remote
Tocal,2421,TOCAL 2421,New South Wales,Remote
Torryburn,2421,TORRYBURN 2421,New South Wales,Remote
Trevallyn,2421,TREVALLYN 2421,New South Wales,Remote
Vacy,2421,VACY 2421,New South Wales,Remote
Webbers Creek,2421,WEBBERS CREEK 2421,New South Wales,Remote
Back Creek,2422,BACK CREEK 2422,New South Wales,Remote
Bakers Creek,2422,BAKERS CREEK 2422,New South Wales,Remote
Barrington,2422,BARRINGTON 2422,New South Wales,Remote
Barrington Tops,2422,BARRINGTON TOPS 2422,New South Wales,Remote
Baxters Ridge,2422,BAXTERS RIDGE 2422,New South Wales,Remote
Belbora,2422,BELBORA 2422,New South Wales,Remote
Berrico,2422,BERRICO 2422,New South Wales,Remote
Bindera,2422,BINDERA 2422,New South Wales,Remote
Bowman,2422,BOWMAN 2422,New South Wales,Remote
Bowman Farm,2422,BOWMAN FARM 2422,New South Wales,Remote
Bretti,2422,BRETTI 2422,New South Wales,Remote
Bulliac,2422,BULLIAC 2422,New South Wales,Remote
Bundook,2422,BUNDOOK 2422,New South Wales,Remote
Callaghans Creek,2422,CALLAGHANS CREEK 2422,New South Wales,Remote
Cobark,2422,COBARK 2422,New South Wales,Remote
Coneac,2422,CONEAC 2422,New South Wales,Remote
Copeland,2422,COPELAND 2422,New South Wales,Remote
Craven,2422,CRAVEN 2422,New South Wales,Remote
Craven Plateau,2422,CRAVEN PLATEAU 2422,New South Wales,Remote
Curricabark,2422,CURRICABARK 2422,New South Wales,Remote
Dewitt,2422,DEWITT 2422,New South Wales,Remote
Faulkland,2422,FAULKLAND 2422,New South Wales,Remote
Forbesdale,2422,FORBESDALE 2422,New South Wales,Remote
Gangat,2422,GANGAT 2422,New South Wales,Remote
Giro,2422,GIRO 2422,New South Wales,Remote
Glen Ward,2422,GLEN WARD 2422,New South Wales,Remote
Gloucester,2422,GLOUCESTER 2422,New South Wales,Remote
Gloucester Tops,2422,GLOUCESTER TOPS 2422,New South Wales,Remote
Invergordon,2422,INVERGORDON 2422,New South Wales,Remote
Kia Ora,2422,KIA ORA 2422,New South Wales,Remote
Mares Run,2422,MARES RUN 2422,New South Wales,Remote
Mernot,2422,MERNOT 2422,New South Wales,Remote
Mograni,2422,MOGRANI 2422,New South Wales,Remote
Moppy,2422,MOPPY 2422,New South Wales,Remote
Rawdon Vale,2422,RAWDON VALE 2422,New South Wales,Remote
Rookhurst,2422,ROOKHURST 2422,New South Wales,Remote
Stratford,2422,STRATFORD 2422,New South Wales,Remote
Terreel,2422,TERREEL 2422,New South Wales,Remote
Tibbuc,2422,TIBBUC 2422,New South Wales,Remote
Titaatee Creek,2422,TITAATEE CREEK 2422,New South Wales,Remote
Tugrabakh,2422,TUGRABAKH 2422,New South Wales,Remote
Upper Bowman,2422,UPPER BOWMAN 2422,New South Wales,Remote
Wallanbah,2422,WALLANBAH 2422,New South Wales,Remote
Wards River,2422,WARDS RIVER 2422,New South Wales,Remote
Waukivory,2422,WAUKIVORY 2422,New South Wales,Remote
Woko,2422,WOKO 2422,New South Wales,Remote
Bombah Point,2423,BOMBAH POINT 2423,New South Wales,Remote
Boolambayte,2423,BOOLAMBAYTE 2423,New South Wales,Remote
Bulahdelah,2423,BULAHDELAH 2423,New South Wales,Remote
Bungwahl,2423,BUNGWAHL 2423,New South Wales,Remote
Coolongolook,2423,COOLONGOLOOK 2423,New South Wales,Remote
Crawford River,2423,CRAWFORD RIVER 2423,New South Wales,Remote
Markwell,2423,MARKWELL 2423,New South Wales,Remote
Mayers Flat,2423,MAYERS FLAT 2423,New South Wales,Remote
Mungo Brush,2423,MUNGO BRUSH 2423,New South Wales,Remote
Myall Lake,2423,MYALL LAKE 2423,New South Wales,Remote
Nerong,2423,NERONG 2423,New South Wales,Remote
Seal Rocks,2423,SEAL ROCKS 2423,New South Wales,Remote
Topi Topi,2423,TOPI TOPI 2423,New South Wales,Remote
Upper Myall,2423,UPPER MYALL 2423,New South Wales,Remote
Violet Hill,2423,VIOLET HILL 2423,New South Wales,Remote
Wang Wauk,2423,WANG WAUK 2423,New South Wales,Remote
Warranulla,2423,WARRANULLA 2423,New South Wales,Remote
Willina,2423,WILLINA 2423,New South Wales,Remote
Wootton,2423,WOOTTON 2423,New South Wales,Remote
Yagon,2423,YAGON 2423,New South Wales,Remote
Caffreys Flat,2424,CAFFREYS FLAT 2424,New South Wales,Remote
Cells River,2424,CELLS RIVER 2424,New South Wales,Remote
Cooplacurripa,2424,COOPLACURRIPA 2424,New South Wales,Remote
Cundle Flat,2424,CUNDLE FLAT 2424,New South Wales,Remote
Knorrit Flat,2424,KNORRIT FLAT 2424,New South Wales,Remote
Knorrit Forest,2424,KNORRIT FOREST 2424,New South Wales,Remote
Mount George,2424,MOUNT GEORGE 2424,New South Wales,Remote
Number One,2424,NUMBER ONE 2424,New South Wales,Remote
Tiri,2424,TIRI 2424,New South Wales,Remote
Allworth,2425,ALLWORTH 2425,New South Wales,Remote
Booral,2425,BOORAL 2425,New South Wales,Remote
Girvan,2425,GIRVAN 2425,New South Wales,Remote
Stroud,2425,STROUD 2425,New South Wales,Remote
The Branch,2425,THE BRANCH 2425,New South Wales,Remote
Washpool,2425,WASHPOOL 2425,New South Wales,Remote
Crowdy Head,2427,CROWDY HEAD 2427,New South Wales,Remote
Charlotte Bay,2428,CHARLOTTE BAY 2428,New South Wales,Remote
Coomba Bay,2428,COOMBA BAY 2428,New South Wales,Remote
Coomba Park,2428,COOMBA PARK 2428,New South Wales,Remote
Sandbar,2428,SANDBAR 2428,New South Wales,Remote
Shallow Bay,2428,SHALLOW BAY 2428,New South Wales,Remote
Tarbuck Bay,2428,TARBUCK BAY 2428,New South Wales,Remote
Tiona,2428,TIONA 2428,New South Wales,Remote
Wallingat,2428,WALLINGAT 2428,New South Wales,Remote
Whoota,2428,WHOOTA 2428,New South Wales,Remote
Bobin,2429,BOBIN 2429,New South Wales,Remote
Boorganna,2429,BOORGANNA 2429,New South Wales,Remote
Bucca Wauka,2429,BUCCA WAUKA 2429,New South Wales,Remote
Bulga Forest,2429,BULGA FOREST 2429,New South Wales,Remote
Bunyah,2429,BUNYAH 2429,New South Wales,Remote
Burrell Creek,2429,BURRELL CREEK 2429,New South Wales,Remote
Caparra,2429,CAPARRA 2429,New South Wales,Remote
Cedar Party,2429,CEDAR PARTY 2429,New South Wales,Remote
Comboyne,2429,COMBOYNE 2429,New South Wales,Remote
Dingo Forest,2429,DINGO FOREST 2429,New South Wales,Remote
Dollys Flat,2429,DOLLYS FLAT 2429,New South Wales,Remote
Dyers Crossing,2429,DYERS CROSSING 2429,New South Wales,Remote
Elands,2429,ELANDS 2429,New South Wales,Remote
Firefly,2429,FIREFLY 2429,New South Wales,Remote
Innes View,2429,INNES VIEW 2429,New South Wales,Remote
Karaak Flat,2429,KARAAK FLAT 2429,New South Wales,Remote
Khatambuhl,2429,KHATAMBUHL 2429,New South Wales,Remote
Killabakh,2429,KILLABAKH 2429,New South Wales,Remote
Killawarra,2429,KILLAWARRA 2429,New South Wales,Remote
Kimbriki,2429,KIMBRIKI 2429,New South Wales,Remote
Kippaxs,2429,KIPPAXS 2429,New South Wales,Remote
Krambach,2429,KRAMBACH 2429,New South Wales,Remote
Kundibakh,2429,KUNDIBAKH 2429,New South Wales,Remote
Marlee,2429,MARLEE 2429,New South Wales,Remote
Mooral Creek,2429,MOORAL CREEK 2429,New South Wales,Remote
Strathcedar,2429,STRATHCEDAR 2429,New South Wales,Remote
The Bight,2429,THE BIGHT 2429,New South Wales,Remote
Tipperary,2429,TIPPERARY 2429,New South Wales,Remote
Warriwillah,2429,WARRIWILLAH 2429,New South Wales,Remote
Wherrol Flat,2429,WHERROL FLAT 2429,New South Wales,Remote
Yarratt Forest,2429,YARRATT FOREST 2429,New South Wales,Remote
Cabbage Tree Island,2430,CABBAGE TREE ISLAND 2430,New South Wales,Remote
Lansdowne Forest,2430,LANSDOWNE FOREST 2430,New South Wales,Remote
Manning Point,2430,MANNING POINT 2430,New South Wales,Remote
Melinga,2430,MELINGA 2430,New South Wales,Remote
Upper Lansdowne,2430,UPPER LANSDOWNE 2430,New South Wales,Remote
Marlo Merrican,2441,MARLO MERRICAN 2441,New South Wales,Remote
Mid North Coast Msc,2442,MID NORTH COAST MSC 2442,New South Wales,Remote
Bakers Creek,2447,BAKERS CREEK 2447,New South Wales,Remote
Burrapine,2447,BURRAPINE 2447,New South Wales,Remote
Congarinni,2447,CONGARINNI 2447,New South Wales,Remote
Congarinni North,2447,CONGARINNI NORTH 2447,New South Wales,Remote
Talarm,2447,TALARM 2447,New South Wales,Remote
Taylors Arm,2447,TAYLORS ARM 2447,New South Wales,Remote
Thumb Creek,2447,THUMB CREEK 2447,New South Wales,Remote
Upper Taylors Arm,2447,UPPER TAYLORS ARM 2447,New South Wales,Remote
Utungun,2447,UTUNGUN 2447,New South Wales,Remote
Wirrimbi,2447,WIRRIMBI 2447,New South Wales,Remote
Yarranbella,2447,YARRANBELLA 2447,New South Wales,Remote
Argents Hill,2449,ARGENTS HILL 2449,New South Wales,Remote
Buckra Bendinni,2449,BUCKRA BENDINNI 2449,New South Wales,Remote
Girralong,2449,GIRRALONG 2449,New South Wales,Remote
Kennaicle Creek,2449,KENNAICLE CREEK 2449,New South Wales,Remote
Killiekrankie,2449,KILLIEKRANKIE 2449,New South Wales,Remote
Missabotti,2449,MISSABOTTI 2449,New South Wales,Remote
South Arm,2449,SOUTH ARM 2449,New South Wales,Remote
Tewinga,2449,TEWINGA 2449,New South Wales,Remote
Brooklana,2450,BROOKLANA 2450,New South Wales,Remote
Coramba,2450,CORAMBA 2450,New South Wales,Remote
Glenreagh,2450,GLENREAGH 2450,New South Wales,Remote
Karangi,2450,KARANGI 2450,New South Wales,Remote
Lowanna,2450,LOWANNA 2450,New South Wales,Remote
Nana Glen,2450,NANA GLEN 2450,New South Wales,Remote
Sherwood,2450,SHERWOOD 2450,New South Wales,Remote
Ulong,2450,ULONG 2450,New South Wales,Remote
Upper Orara,2450,UPPER ORARA 2450,New South Wales,Remote
Bielsdown Hills,2453,BIELSDOWN HILLS 2453,New South Wales,Remote
Billys Creek,2453,BILLYS CREEK 2453,New South Wales,Remote
Bostobrick,2453,BOSTOBRICK 2453,New South Wales,Remote
Cascade,2453,CASCADE 2453,New South Wales,Remote
Clouds Creek,2453,CLOUDS CREEK 2453,New South Wales,Remote
Deer Vale,2453,DEER VALE 2453,New South Wales,Remote
Dundurrabin,2453,DUNDURRABIN 2453,New South Wales,Remote
Ebor,2453,EBOR 2453,New South Wales,Remote
Fernbrook,2453,FERNBROOK 2453,New South Wales,Remote
Hernani,2453,HERNANI 2453,New South Wales,Remote
Marengo,2453,MARENGO 2453,New South Wales,Remote
Megan,2453,MEGAN 2453,New South Wales,Remote
Moonpar,2453,MOONPAR 2453,New South Wales,Remote
Never Never,2453,NEVER NEVER 2453,New South Wales,Remote
Tallowwood Ridge,2453,TALLOWWOOD RIDGE 2453,New South Wales,Remote
Tyringham,2453,TYRINGHAM 2453,New South Wales,Remote
Wild Cattle Creek,2453,WILD CATTLE CREEK 2453,New South Wales,Remote
Brierfield,2454,BRIERFIELD 2454,New South Wales,Remote
Brinerville,2454,BRINERVILLE 2454,New South Wales,Remote
Darkwood,2454,DARKWOOD 2454,New South Wales,Remote
Gleniffer,2454,GLENIFFER 2454,New South Wales,Remote
Kalang,2454,KALANG 2454,New South Wales,Remote
Spicketts Creek,2454,SPICKETTS CREEK 2454,New South Wales,Remote
Thora,2454,THORA 2454,New South Wales,Remote
Valery,2454,VALERY 2454,New South Wales,Remote
Dirty Creek,2456,DIRTY CREEK 2456,New South Wales,Remote
Upper Corindi,2456,UPPER CORINDI 2456,New South Wales,Remote
Alumy Creek,2460,ALUMY CREEK 2460,New South Wales,Remote
Banyabba,2460,BANYABBA 2460,New South Wales,Remote
Barcoongere,2460,BARCOONGERE 2460,New South Wales,Remote
Barretts Creek,2460,BARRETTS CREEK 2460,New South Wales,Remote
Baryulgil,2460,BARYULGIL 2460,New South Wales,Remote
Blaxlands Creek,2460,BLAXLANDS CREEK 2460,New South Wales,Remote
Bom Bom,2460,BOM BOM 2460,New South Wales,Remote
Bookram,2460,BOOKRAM 2460,New South Wales,Remote
Braunstone,2460,BRAUNSTONE 2460,New South Wales,Remote
Buccarumbi,2460,BUCCARUMBI 2460,New South Wales,Remote
Calamia,2460,CALAMIA 2460,New South Wales,Remote
Cangai,2460,CANGAI 2460,New South Wales,Remote
Carnham,2460,CARNHAM 2460,New South Wales,Remote
Carrs Creek,2460,CARRS CREEK 2460,New South Wales,Remote
Carrs Island,2460,CARRS ISLAND 2460,New South Wales,Remote
Carrs Peninsular,2460,CARRS PENINSULAR 2460,New South Wales,Remote
Chaelundi,2460,CHAELUNDI 2460,New South Wales,Remote
Chambigne,2460,CHAMBIGNE 2460,New South Wales,Remote
Clifden,2460,CLIFDEN 2460,New South Wales,Remote
Coaldale,2460,COALDALE 2460,New South Wales,Remote
Collum Collum,2460,COLLUM COLLUM 2460,New South Wales,Remote
Coombadjha,2460,COOMBADJHA 2460,New South Wales,Remote
Copmanhurst,2460,COPMANHURST 2460,New South Wales,Remote
Coutts Crossing,2460,COUTTS CROSSING 2460,New South Wales,Remote
Crowther Island,2460,CROWTHER ISLAND 2460,New South Wales,Remote
Dalmorton,2460,DALMORTON 2460,New South Wales,Remote
Deep Creek,2460,DEEP CREEK 2460,New South Wales,Remote
Dilkoon,2460,DILKOON 2460,New South Wales,Remote
Dumbudgery,2460,DUMBUDGERY 2460,New South Wales,Remote
Eatonsville,2460,EATONSVILLE 2460,New South Wales,Remote
Eighteen Mile,2460,EIGHTEEN MILE 2460,New South Wales,Remote
Elland,2460,ELLAND 2460,New South Wales,Remote
Fine Flower,2460,FINE FLOWER 2460,New South Wales,Remote
Fortis Creek,2460,FORTIS CREEK 2460,New South Wales,Remote
Glenugie,2460,GLENUGIE 2460,New South Wales,Remote
Great Marlow,2460,GREAT MARLOW 2460,New South Wales,Remote
Gurranang,2460,GURRANANG 2460,New South Wales,Remote
Halfway Creek,2460,HALFWAY CREEK 2460,New South Wales,Remote
Heifer Station,2460,HEIFER STATION 2460,New South Wales,Remote
Jackadgery,2460,JACKADGERY 2460,New South Wales,Remote
Kangaroo Creek,2460,KANGAROO CREEK 2460,New South Wales,Remote
Koolkhan,2460,KOOLKHAN 2460,New South Wales,Remote
Kremnos,2460,KREMNOS 2460,New South Wales,Remote
Kungala,2460,KUNGALA 2460,New South Wales,Remote
Kyarran,2460,KYARRAN 2460,New South Wales,Remote
Lanitza,2460,LANITZA 2460,New South Wales,Remote
Lawrence,2460,LAWRENCE 2460,New South Wales,Remote
Levenstrath,2460,LEVENSTRATH 2460,New South Wales,Remote
Lilydale,2460,LILYDALE 2460,New South Wales,Remote
Lionsville,2460,LIONSVILLE 2460,New South Wales,Remote
Malabugilmah,2460,MALABUGILMAH 2460,New South Wales,Remote
Moleville Creek,2460,MOLEVILLE CREEK 2460,New South Wales,Remote
Mountain View,2460,MOUNTAIN VIEW 2460,New South Wales,Remote
Mylneford,2460,MYLNEFORD 2460,New South Wales,Remote
Newbold,2460,NEWBOLD 2460,New South Wales,Remote
Nymboida,2460,NYMBOIDA 2460,New South Wales,Remote
Pulganbar,2460,PULGANBAR 2460,New South Wales,Remote
Punchbowl,2460,PUNCHBOWL 2460,New South Wales,Remote
Ramornie,2460,RAMORNIE 2460,New South Wales,Remote
Rushforth,2460,RUSHFORTH 2460,New South Wales,Remote
Sandy Crossing,2460,SANDY CROSSING 2460,New South Wales,Remote
Seelands,2460,SEELANDS 2460,New South Wales,Remote
Shannondale,2460,SHANNONDALE 2460,New South Wales,Remote
Smiths Creek,2460,SMITHS CREEK 2460,New South Wales,Remote
Southampton,2460,SOUTHAMPTON 2460,New South Wales,Remote
South Arm,2460,SOUTH ARM 2460,New South Wales,Remote
Southgate,2460,SOUTHGATE 2460,New South Wales,Remote
Stockyard Creek,2460,STOCKYARD CREEK 2460,New South Wales,Remote
The Pinnacles,2460,THE PINNACLES 2460,New South Wales,Remote
The Whiteman,2460,THE WHITEMAN 2460,New South Wales,Remote
Towallum,2460,TOWALLUM 2460,New South Wales,Remote
Trenayr,2460,TRENAYR 2460,New South Wales,Remote
Upper Copmanhurst,2460,UPPER COPMANHURST 2460,New South Wales,Remote
Upper Fine Flower,2460,UPPER FINE FLOWER 2460,New South Wales,Remote
Warragai Creek,2460,WARRAGAI CREEK 2460,New South Wales,Remote
Washpool,2460,WASHPOOL 2460,New South Wales,Remote
Waterview,2460,WATERVIEW 2460,New South Wales,Remote
Waterview Heights,2460,WATERVIEW HEIGHTS 2460,New South Wales,Remote
Wells Crossing,2460,WELLS CROSSING 2460,New South Wales,Remote
Whiteman Creek,2460,WHITEMAN CREEK 2460,New South Wales,Remote
Winegrove,2460,WINEGROVE 2460,New South Wales,Remote
Wombat Creek,2460,WOMBAT CREEK 2460,New South Wales,Remote
Calliope,2462,CALLIOPE 2462,New South Wales,Remote
Coldstream,2462,COLDSTREAM 2462,New South Wales,Remote
Diggers Camp,2462,DIGGERS CAMP 2462,New South Wales,Remote
Gilletts Ridge,2462,GILLETTS RIDGE 2462,New South Wales,Remote
Lake Hiawatha,2462,LAKE HIAWATHA 2462,New South Wales,Remote
Lavadia,2462,LAVADIA 2462,New South Wales,Remote
Minnie Water,2462,MINNIE WATER 2462,New South Wales,Remote
Pillar Valley,2462,PILLAR VALLEY 2462,New South Wales,Remote
Tucabia,2462,TUCABIA 2462,New South Wales,Remote
Wooli,2462,WOOLI 2462,New South Wales,Remote
Ashby,2463,ASHBY 2463,New South Wales,Remote
Ashby Heights,2463,ASHBY HEIGHTS 2463,New South Wales,Remote
Ashby Island,2463,ASHBY ISLAND 2463,New South Wales,Remote
Brooms Head,2463,BROOMS HEAD 2463,New South Wales,Remote
Ilarwill,2463,ILARWILL 2463,New South Wales,Remote
Jacky Bulbin Flat,2463,JACKY BULBIN FLAT 2463,New South Wales,Remote
Sandon,2463,SANDON 2463,New South Wales,Remote
Shark Creek,2463,SHARK CREEK 2463,New South Wales,Remote
Taloumbi,2463,TALOUMBI 2463,New South Wales,Remote
The Sandon,2463,THE SANDON 2463,New South Wales,Remote
Tullymorgan,2463,TULLYMORGAN 2463,New South Wales,Remote
Woodford,2463,WOODFORD 2463,New South Wales,Remote
Woodford Island,2463,WOODFORD ISLAND 2463,New South Wales,Remote
Freeburn Island,2464,FREEBURN ISLAND 2464,New South Wales,Remote
Yuraygir,2464,YURAYGIR 2464,New South Wales,Remote
The Freshwater,2466,THE FRESHWATER 2466,New South Wales,Remote
Alice,2469,ALICE 2469,New South Wales,Remote
Bean Creek,2469,BEAN CREEK 2469,New South Wales,Remote
Bingeebeebra Creek,2469,BINGEEBEEBRA CREEK 2469,New South Wales,Remote
Bonalbo,2469,BONALBO 2469,New South Wales,Remote
Bottle Creek,2469,BOTTLE CREEK 2469,New South Wales,Remote
Bulldog,2469,BULLDOG 2469,New South Wales,Remote
Bungawalbin,2469,BUNGAWALBIN 2469,New South Wales,Remote
Busbys Flat,2469,BUSBYS FLAT 2469,New South Wales,Remote
Cambridge Plateau,2469,CAMBRIDGE PLATEAU 2469,New South Wales,Remote
Camira,2469,CAMIRA 2469,New South Wales,Remote
Capeen Creek,2469,CAPEEN CREEK 2469,New South Wales,Remote
Clearfield,2469,CLEARFIELD 2469,New South Wales,Remote
Coongbar,2469,COONGBAR 2469,New South Wales,Remote
Culmaran Creek,2469,CULMARAN CREEK 2469,New South Wales,Remote
Deep Creek,2469,DEEP CREEK 2469,New South Wales,Remote
Drake,2469,DRAKE 2469,New South Wales,Remote
Drake Village,2469,DRAKE VILLAGE 2469,New South Wales,Remote
Duck Creek,2469,DUCK CREEK 2469,New South Wales,Remote
Ewingar,2469,EWINGAR 2469,New South Wales,Remote
Gibberagee,2469,GIBBERAGEE 2469,New South Wales,Remote
Goodwood Island,2469,GOODWOOD ISLAND 2469,New South Wales,Remote
Gorge Creek,2469,GORGE CREEK 2469,New South Wales,Remote
Haystack,2469,HAYSTACK 2469,New South Wales,Remote
Hogarth Range,2469,HOGARTH RANGE 2469,New South Wales,Remote
Jacksons Flat,2469,JACKSONS FLAT 2469,New South Wales,Remote
Joes Box,2469,JOES BOX 2469,New South Wales,Remote
Keybarbin,2469,KEYBARBIN 2469,New South Wales,Remote
Kippenduff,2469,KIPPENDUFF 2469,New South Wales,Remote
Louisa Creek,2469,LOUISA CREEK 2469,New South Wales,Remote
Lower Bottle Creek,2469,LOWER BOTTLE CREEK 2469,New South Wales,Remote
Lower Duck Creek,2469,LOWER DUCK CREEK 2469,New South Wales,Remote
Lower Peacock,2469,LOWER PEACOCK 2469,New South Wales,Remote
Mallanganee,2469,MALLANGANEE 2469,New South Wales,Remote
Mookima Wybra,2469,MOOKIMA WYBRA 2469,New South Wales,Remote
Mororo,2469,MORORO 2469,New South Wales,Remote
Mount Marsh,2469,MOUNT MARSH 2469,New South Wales,Remote
Mummulgum,2469,MUMMULGUM 2469,New South Wales,Remote
Myrtle Creek,2469,MYRTLE CREEK 2469,New South Wales,Remote
Old Bonalbo,2469,OLD BONALBO 2469,New South Wales,Remote
Paddys Flat,2469,PADDYS FLAT 2469,New South Wales,Remote
Pagans Flat,2469,PAGANS FLAT 2469,New South Wales,Remote
Peacock Creek,2469,PEACOCK CREEK 2469,New South Wales,Remote
Pikapene,2469,PIKAPENE 2469,New South Wales,Remote
Rappville,2469,RAPPVILLE 2469,New South Wales,Remote
Sandilands,2469,SANDILANDS 2469,New South Wales,Remote
Simpkins Creek,2469,SIMPKINS CREEK 2469,New South Wales,Remote
Six Mile Swamp,2469,SIX MILE SWAMP 2469,New South Wales,Remote
Tabulam,2469,TABULAM 2469,New South Wales,Remote
Theresa Creek,2469,THERESA CREEK 2469,New South Wales,Remote
Tunglebung,2469,TUNGLEBUNG 2469,New South Wales,Remote
Upper Duck Creek,2469,UPPER DUCK CREEK 2469,New South Wales,Remote
Warregah Island,2469,WARREGAH ISLAND 2469,New South Wales,Remote
Whiporie,2469,WHIPORIE 2469,New South Wales,Remote
Wyan,2469,WYAN 2469,New South Wales,Remote
Yabbra,2469,YABBRA 2469,New South Wales,Remote
Babyl Creek,2470,BABYL CREEK 2470,New South Wales,Remote
Backmede,2470,BACKMEDE 2470,New South Wales,Remote
Baraimal,2470,BARAIMAL 2470,New South Wales,Remote
Coombell,2470,COOMBELL 2470,New South Wales,Remote
Dobies Bight,2470,DOBIES BIGHT 2470,New South Wales,Remote
Doubtful Creek,2470,DOUBTFUL CREEK 2470,New South Wales,Remote
Dyraaba,2470,DYRAABA 2470,New South Wales,Remote
Ellangowan,2470,ELLANGOWAN 2470,New South Wales,Remote
Fairy Hill,2470,FAIRY HILL 2470,New South Wales,Remote
Irvington,2470,IRVINGTON 2470,New South Wales,Remote
Leeville,2470,LEEVILLE 2470,New South Wales,Remote
Lower Dyraaba,2470,LOWER DYRAABA 2470,New South Wales,Remote
Mongogarie,2470,MONGOGARIE 2470,New South Wales,Remote
Naughtons Gap,2470,NAUGHTONS GAP 2470,New South Wales,Remote
North Casino,2470,NORTH CASINO 2470,New South Wales,Remote
Piora,2470,PIORA 2470,New South Wales,Remote
Sextonville,2470,SEXTONVILLE 2470,New South Wales,Remote
Shannon Brook,2470,SHANNON BROOK 2470,New South Wales,Remote
Spring Grove,2470,SPRING GROVE 2470,New South Wales,Remote
Stratheden,2470,STRATHEDEN 2470,New South Wales,Remote
Tomki,2470,TOMKI 2470,New South Wales,Remote
Upper Mongogarie,2470,UPPER MONGOGARIE 2470,New South Wales,Remote
Woodview,2470,WOODVIEW 2470,New South Wales,Remote
Woolners Arm,2470,WOOLNERS ARM 2470,New South Wales,Remote
Yorklea,2470,YORKLEA 2470,New South Wales,Remote
Bora Ridge,2471,BORA RIDGE 2471,New South Wales,Remote
Codrington,2471,CODRINGTON 2471,New South Wales,Remote
Green Forest,2471,GREEN FOREST 2471,New South Wales,Remote
